pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,0,101,1023,4480,2816,22528,0,2816,0,11127,13008,0,30,0,0,30,30,0,0,1639,0,11157,30,30,0
4,1,223,2024,4608,3584,28672,0,3584,0,11903,15452,0,12,0,0,12,12,0,0,1067,0,11915,12,12,0
4,2,348,3028,4608,2560,20480,0,2560,0,8506,11231,0,25,0,0,25,25,0,0,2769,0,8531,25,25,0
4,3,415,4031,4608,2048,16384,0,2048,0,7033,8883,0,13,0,0,13,13,0,0,2708,0,7046,13,13,0
4,4,525,5032,4608,3840,30720,0,3840,0,12353,16288,0,21,0,0,21,21,0,0,2559,0,12374,21,21,0
4,5,631,6035,4736,2560,20480,0,2560,0,9007,11663,0,20,0,0,20,20,0,0,3626,0,9027,20,20,0
4,6,722,7038,4736,2304,18432,0,2304,0,9000,11223,0,21,0,0,21,21,0,0,3555,0,9021,24,24,3
4,7,838,8041,4736,4608,36864,0,4608,0,12882,17458,0,21,0,0,21,21,0,0,4280,0,12903,18,18,0
4,8,928,9042,4736,2687,21496,0,2687,0,10179,12982,0,30,0,0,30,30,0,0,5176,0,10209,30,30,0
4,9,1043,10044,4736,3969,31752,0,3969,0,12005,15911,0,20,0,0,20,20,0,0,5266,0,12025,20,20,0
4,10,1189,11057,4864,4608,36864,0,4608,0,14687,19223,0,31,0,0,31,31,0,0,8025,0,14718,31,31,0
4,11,1316,12063,4864,3328,26624,0,3328,0,11271,14529,0,41,0,0,41,41,0,0,8892,0,11311,41,41,0
4,12,1423,13066,4864,3328,26624,0,3328,0,11874,15407,0,25,0,0,25,25,0,0,8800,0,11899,25,25,0
4,13,1582,14068,4992,4864,38912,0,4864,0,15990,20843,0,25,0,0,25,25,0,0,10239,0,16015,25,25,0
4,14,1716,15082,4992,4864,38912,0,4864,0,15485,20258,0,26,0,0,26,26,0,0,10781,0,15511,26,26,0
4,15,1876,16087,4992,4143,33144,0,4143,0,14361,18882,0,27,0,0,27,27,0,0,12454,0,14388,27,27,0
4,16,2049,17096,4992,5329,42632,0,5329,0,16182,21257,0,20,0,0,20,20,0,0,12780,0,16202,20,20,0
4,17,2078,18098,4992,1060,8480,0,1060,0,3473,5320,0,6,0,0,6,6,0,0,11993,0,3479,6,6,0
4,18,2083,19098,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,19,2087,20099,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,20,2090,21099,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,21,2093,22099,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,22,2100,23099,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,23,2108,24100,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,24,2114,25100,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,25,2121,26100,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,26,2129,27101,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,27,2136,28102,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,28,2143,29102,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,29,2151,30103,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,30,2158,31103,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,31,2166,32104,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,32,2172,33104,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
4,33,2180,34105,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11993,0,0,0,0,0
8,0,180,1024,4480,3840,30720,0,3840,0,12498,15449,0,21,0,0,21,21,0,0,1789,0,12519,21,21,0
8,1,328,2033,4736,3840,30720,0,3840,0,13145,16877,0,22,0,0,22,22,0,0,2821,0,13167,24,24,2
8,2,530,3033,4864,2816,22528,0,2816,0,9845,12776,0,37,0,0,37,37,0,0,5255,0,9875,35,35,0
8,3,704,4044,4864,6144,49152,0,6144,0,17219,23408,0,20,0,0,20,20,0,0,4965,0,17239,20,20,0
8,4,832,5045,4864,4352,34816,0,4352,0,14662,19009,0,30,0,0,30,30,0,0,5265,0,14692,30,30,0
8,5,974,6047,4864,2816,22528,0,2816,0,11963,14655,0,20,0,0,20,20,0,0,6314,0,11983,20,20,0
8,6,1127,7047,4864,5376,43008,0,5376,0,16299,21666,0,19,0,0,19,19,0,0,6119,0,16318,19,19,0
8,7,1276,8049,4864,5376,43008,0,5376,0,16777,22341,0,33,0,0,33,33,0,0,7136,0,16810,33,33,0
8,8,1421,9052,4864,4096,32768,0,4096,0,14106,18011,0,27,0,0,27,27,0,0,8798,0,14133,27,27,0
8,9,1556,10060,4864,3840,30720,0,3840,0,12989,16928,0,30,0,0,30,30,0,0,9251,0,12807,30,30,0
8,10,1650,11064,4864,2701,21608,0,2701,0,9422,12498,0,18,0,0,18,18,0,0,9618,0,9440,18,18,0
8,11,1775,12083,5120,3638,29104,0,3638,0,11497,14685,0,26,0,0,26,26,0,0,10989,0,11523,26,26,0
8,12,1873,13086,5120,3389,27112,0,3389,0,12190,15554,0,40,0,0,40,40,0,0,12599,0,11901,40,40,0
8,13,2007,14089,5120,3840,30720,0,3840,0,11504,15472,0,24,0,0,24,24,0,0,13491,0,11528,24,24,0
8,14,2135,15090,5120,4096,32768,0,4096,0,13256,17299,0,27,0,0,27,27,0,0,14276,0,13283,27,27,0
8,15,2192,16093,5120,2340,18720,0,2340,0,7138,10264,0,24,0,0,24,24,0,0,14731,0,7162,24,24,0
8,16,2195,17094,5120,0,0,0,0,0,0,118,0,1,0,0,1,1,0,0,14731,0,1,1,1,0
8,17,2200,18094,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,18,2204,19095,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,19,2207,20096,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,20,2212,21096,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,21,2217,22097,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,22,2223,23097,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,23,2230,24098,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,24,2237,25099,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,25,2244,26101,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,26,2254,27102,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,27,2265,28104,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,28,2272,29105,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,29,2279,30107,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,30,2287,31107,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,31,2294,32109,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,32,2302,33110,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
8,33,2319,34111,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731,0,0,0,0,0
6,0,150,1035,4352,2816,22528,0,2816,0,11147,13128,0,13,0,0,13,13,0,0,899,0,11167,13,13,0
6,1,283,2038,4480,4352,34816,0,4352,0,13100,17357,0,28,0,0,28,28,0,0,1820,0,13027,28,28,0
6,2,455,3039,4608,2816,22528,0,2816,0,9879,12793,0,55,0,0,55,55,0,0,3610,0,9934,55,55,0
6,3,571,4042,4608,3584,28672,0,3584,0,11644,15261,0,23,0,0,23,23,0,0,4514,0,11667,23,23,0
6,4,711,5047,4608,4608,36864,0,4608,0,14459,18984,0,22,0,0,22,22,0,0,4501,0,14225,22,22,0
6,5,837,6048,4736,3584,28672,0,3584,0,11337,14876,0,17,0,0,17,17,0,0,5546,0,11354,17,17,0
