pid,round,cpu,wc,m_cmpsd,seq_nr,log,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,fl_s,fl_r
2,0,1435,1040,4608,36864,36864,4608,0,17376,3959233,0,512,10,0,512,512,0,17888,512
2,1,2781,2047,4608,36864,36864,4608,0,17618,5048424,0,576,9,0,576,576,0,18194,576
2,2,4170,3056,4608,36864,36864,4608,0,19036,6751559,0,576,10,0,576,576,0,19612,576
2,3,5551,4064,4608,36864,36864,4608,0,18491,6979877,0,577,9,0,577,577,0,19068,577
2,4,6778,5065,4608,36864,36120,4608,0,14139,5045403,0,606,10,0,606,606,0,14744,606
2,5,8161,6071,4608,36864,37608,4608,0,18875,5420283,0,589,9,0,589,589,0,19464,589
2,6,9588,7078,4608,36864,36864,4608,0,18585,7875846,0,576,9,0,576,576,0,19153,576
2,7,10978,8095,4608,36864,36864,4608,0,17914,4302945,0,631,10,0,631,631,0,18544,631
2,8,12352,9103,4177,33409,33408,4177,0,16386,4962471,0,573,9,0,573,573,0,16911,573
2,9,13615,10110,4515,36127,33840,4515,0,16982,5454019,0,520,9,0,520,520,0,17501,520
2,10,14772,11117,3596,28768,31056,3595,0,16061,4562137,0,516,10,0,516,516,0,16577,516
2,11,16040,12134,4608,36864,36864,4608,0,18586,5399067,0,659,10,0,659,659,0,19245,659
2,12,17253,13141,4096,32768,32768,4096,0,17522,5195393,0,558,9,0,558,558,0,18080,558
2,13,18627,14149,4608,36864,36864,4608,0,19359,5756822,0,640,10,0,640,640,0,19999,640
2,14,19980,15156,36,288,288,36,0,508,7354516,0,69,9,0,69,69,0,577,69
2,15,21396,16163,0,0,0,0,0,4,6214991,0,0,9,0,0,0,0,4,0
2,16,22510,17170,0,0,0,0,0,4,2078463,0,1,10,0,1,1,0,5,1
2,17,23515,18176,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2,18,24517,19184,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2,19,25522,20191,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2,20,26525,21198,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1,0,563,1028,0,0,33823,0,4344,0,0,512,0,10,13334,13846,0,512,512,13846
1,1,1190,2035,0,0,36293,0,4505,0,0,576,0,9,14782,15358,0,576,576,15257
1,2,1766,3056,0,0,40476,0,4975,0,0,576,0,9,13458,14034,0,576,576,14034
1,3,2371,4064,0,0,36864,0,4608,0,0,576,0,9,16536,17112,0,576,576,17112
1,4,3084,5072,0,0,33016,0,4128,0,0,607,0,10,11714,12290,0,576,607,12280
1,5,3659,6080,0,0,39404,0,4976,0,0,589,0,9,15945,16521,0,576,589,16408
1,6,4195,7088,0,0,38172,0,4608,0,0,576,0,9,14557,15133,0,576,576,15131
1,7,4769,8106,0,0,36864,0,4608,0,0,631,0,9,12316,12892,0,576,631,12892
1,8,5353,9112,0,0,32592,0,4074,0,0,550,0,9,12261,12811,0,550,550,12811
1,9,6023,10122,0,0,32952,0,4274,0,0,543,0,10,11538,12076,0,538,540,12076
1,10,6689,11127,0,0,32364,0,3914,0,0,516,0,9,9174,9600,0,426,516,9599
1,11,7387,12128,0,0,33443,0,4209,0,0,659,0,9,10019,10614,0,595,659,10614
1,12,8148,13131,0,0,33575,0,4281,0,0,558,0,9,10354,10862,0,508,558,10862
1,13,8714,14138,0,0,39585,0,4810,0,0,640,0,9,12236,12818,0,582,640,12817
1,14,9372,15145,0,0,576,0,72,0,0,69,0,9,1117,1186,0,69,69,1186
1,15,9968,16162,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,4
1,16,10832,17170,0,0,0,0,0,0,0,1,0,9,4,5,0,1,1,5
1,17,11823,18176,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1,18,12825,19184,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1,19,13821,20191,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1,20,14819,21198,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
