pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_bc,beb_dir,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,send_q_size,susp_size,fl_s,fl_r,fl_rq,receive_q_size
2,0,306,1011,4480,390,390,895,52,1,391,431,441,895,1653,3162,3443,3162,8710,11883,69,70,0,7952,8121,70,69,320,110,9,270,0,8879,8121,8121,0
2,1,599,2014,4608,448,459,1067,86,339,839,879,889,1067,1562,3882,3696,3882,9378,13192,105,92,0,10005,10231,92,105,289,0,12,152,0,9522,10219,10219,5
2,2,982,3015,4608,495,484,1072,85,834,1334,1374,1384,1072,1577,3918,3721,3918,9509,13166,112,90,0,10042,10274,90,112,354,53,13,216,0,9741,10269,10269,0
2,3,1354,4016,4608,497,497,1067,60,1331,1831,1871,1881,1067,1501,3676,3635,3676,9242,12683,154,106,0,9213,9502,106,154,348,60,4,410,0,9532,9626,9626,124
2,4,1696,5017,4608,532,532,1202,51,1863,2363,2403,2413,1202,1815,4444,4219,4444,10900,15171,149,116,0,11550,11845,116,149,135,98,4,358,0,11195,11753,11753,32
2,5,1978,6018,4608,361,361,897,99,2224,2724,2764,2774,897,1446,3331,3240,3331,8058,11202,74,65,0,8408,8577,65,74,342,130,5,454,0,8227,8585,8585,40
2,6,2352,7021,4608,538,538,1229,94,2762,3262,3302,3312,1229,2175,4272,4633,4272,12277,16865,116,175,0,11139,11460,175,116,213,257,7,499,0,12598,11646,11646,237
2,7,2644,8022,4608,432,430,985,137,3194,3694,3734,3744,985,1581,3270,3551,3270,9638,13445,87,105,0,9159,9381,105,87,76,210,3,386,0,9860,9143,9143,0
2,8,2948,9025,4736,477,479,1085,60,3671,4171,4211,4221,1085,1845,3899,4015,3899,10582,13931,99,71,0,10374,10574,71,99,120,896,4,1052,0,10782,10614,10615,53
2,9,3345,10033,4736,644,646,1403,52,4315,4815,4855,4865,1403,1870,5121,4676,5121,12234,17240,196,168,0,13383,13774,168,196,194,468,1,722,0,12625,13708,13708,0
2,10,3724,11053,4736,494,482,1120,106,4809,5309,5349,5359,1120,2258,3805,4498,3805,11619,16351,83,122,0,9896,10121,122,72,481,0,11,521,0,11586,10049,10049,150
2,11,4078,12053,4736,526,513,1165,50,5335,5835,5875,5885,1165,1802,4059,4132,4059,10882,15142,107,92,0,10346,10586,92,118,272,0,4,393,0,11099,10436,10436,0
2,12,4410,13055,4736,482,482,1099,150,5817,6317,6357,6367,1099,1704,3678,3902,3678,10268,14187,86,76,0,9759,9951,76,86,168,0,3,376,0,10460,9951,9951,0
2,13,4760,14055,4736,509,509,1118,45,6326,6826,6866,6876,1118,1678,3995,3914,3995,10343,14404,96,122,0,10866,11114,122,96,170,0,4,229,0,10591,11115,11115,1
2,14,5101,15057,4736,455,455,1149,136,6781,7281,7321,7331,1149,2125,4294,4423,4294,11780,16191,134,126,0,11159,11449,126,134,197,3,3,241,0,12070,11584,11584,136
2,15,5491,16059,4736,578,615,1337,33,7359,7859,7899,7909,1337,2051,4868,4725,4868,12293,16994,145,159,0,12450,12784,159,145,204,49,3,265,0,12627,12666,12666,18
2,16,5787,17060,4736,456,434,960,83,7815,8315,8355,8365,960,1508,3330,3428,3330,9003,12416,92,89,0,8526,8737,89,92,154,126,5,280,0,9214,8800,8800,81
2,17,6085,18060,4736,483,468,1092,125,8298,8798,8838,8848,1092,1746,3725,3930,3725,9659,13582,90,82,0,9434,9635,82,90,249,41,8,287,0,9861,9614,9614,60
2,18,6373,19062,4736,441,441,1021,100,8739,9239,9279,9289,1021,1500,3013,3542,3013,9170,12514,118,109,0,8004,8261,109,118,116,174,5,485,0,9427,8315,8315,114
2,19,6721,20063,4736,360,397,911,43,9099,9599,9639,9649,911,1727,3876,3549,3876,10049,14071,145,210,0,10234,10612,210,138,5,0,1,12,0,10434,10499,10499,6
2,20,7038,21064,4736,402,365,783,24,9501,10001,10001,10001,783,1098,2669,2664,2669,7224,9900,72,56,0,6899,7057,56,72,0,0,0,0,0,7382,7051,7051,0
2,21,7050,22065,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
2,22,7059,23066,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
2,23,7069,24066,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
2,24,7081,25067,4736,0,0,0,0,9501,10001,10001,10001,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,30,30,0
3,0,279,1009,4480,440,440,974,41,1,441,481,491,974,1333,3466,3281,3466,8117,10945,74,80,0,8738,8922,80,74,386,327,3,453,0,8301,9011,9011,89
3,1,581,2010,4608,488,488,1078,56,429,929,969,979,1078,1464,3888,3620,3888,9504,13209,127,86,0,10062,10304,86,127,215,140,5,368,0,9747,10221,10221,6
3,2,995,3012,4608,454,454,1042,120,883,1383,1423,1433,1042,1891,3819,3975,3819,9703,13573,93,97,0,10188,10407,97,93,160,0,10,473,0,9923,10465,10465,64
