pid,round,cpu,wc,ram,logged,decided,agr_rounds,window_top,window_bot,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,0,389,1026,5120,151,151,504,152,183,504,3678,3760,3678,9546,12742,377,533,0,9379,10336,533,377,390,257,72,10504,10382,10382,46
4,1,790,2031,5248,196,196,570,348,379,569,4587,4589,4588,11611,16232,619,700,0,12087,13437,700,603,203,321,25,12975,13498,13498,108
4,2,1136,3033,5248,210,212,541,558,589,541,4557,4549,4556,11631,16167,679,642,0,11514,12898,642,695,344,429,69,13000,12999,12999,209
4,3,1507,4035,5504,175,173,481,733,764,481,3961,3963,3961,10629,14462,690,647,0,11021,12384,647,669,235,546,50,11995,12172,12172,1
4,4,1885,5037,5504,224,224,605,957,988,604,4839,4819,4839,13319,18335,582,756,0,12650,14019,756,566,390,401,54,14707,14084,14084,69
4,5,2282,6040,5504,198,198,581,1155,1186,581,4431,4464,4431,11892,16243,730,612,0,11514,12838,612,665,523,432,49,13279,12910,12910,141
4,6,2597,7041,5504,126,129,358,1281,1308,358,2914,2877,2915,9004,12060,506,390,0,7449,8196,390,324,496,360,58,9945,9607,9607,1571
4,7,2849,8059,5632,104,101,318,1385,1416,318,2309,2335,2308,6577,8806,459,560,0,7438,8537,560,474,274,509,32,7646,7392,7143,177
4,8,3259,9067,5632,195,195,539,1580,1611,539,4370,4355,4370,11338,15703,725,672,0,10861,12331,672,748,313,719,47,12762,12211,12211,98
4,9,3644,10075,5632,154,155,442,1734,1765,442,3553,3562,3553,9228,12757,560,612,0,9557,10749,612,534,445,718,26,10445,10888,10888,237
4,10,4053,11077,5632,189,188,504,1923,1943,504,4076,4064,4076,11088,15203,512,532,0,10620,11676,532,480,315,479,58,12182,12140,12140,701
4,11,4480,12116,5632,193,195,528,2116,2147,528,4290,4293,4289,11254,15461,610,600,0,11893,13216,600,668,180,771,9,12182,12325,12325,1
4,12,4872,13126,5632,197,194,547,2313,2344,547,4393,4436,4393,11526,15945,624,571,0,11148,12389,571,624,217,737,26,12771,12571,12571,185
4,13,5260,14135,5632,199,201,561,2512,2543,561,4507,4480,4507,12098,16667,605,564,0,11711,12911,564,588,387,619,63,13108,12854,12854,133
4,14,5638,15141,5632,196,195,610,2708,2739,610,4599,4597,4599,12409,16874,578,575,0,12463,13663,575,575,196,1049,13,13612,13541,13541,11
4,15,6043,16147,5632,195,195,506,2903,2934,506,4200,4193,4200,11054,15437,545,536,0,10836,11967,536,548,177,962,21,12157,12069,12069,128
