pid,round,cpu,wc,ram,logged,decided,agr_rounds,restarts,loaded_tail,active_tail,active_front,loaded_front,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,0,284,1010,4480,244,244,558,20,1,245,265,275,558,3911,4230,3911,10603,14290,496,434,0,9993,10971,434,496,373,80,37,11583,11205,11205,234
4,1,554,2016,4480,209,211,433,28,1,454,460,470,433,3249,3225,3249,8573,11823,328,384,0,8821,9583,384,328,361,221,42,9280,9275,9275,0
4,2,824,3021,4480,213,212,471,40,167,667,685,695,470,3266,3440,3266,9557,13249,293,341,0,8943,9627,341,293,138,132,15,10227,9656,9656,30
4,3,1073,4022,4480,212,210,448,41,379,879,899,909,448,3105,3188,3105,8493,11692,278,311,0,8329,8960,311,270,115,283,12,9132,8964,8964,35
4,4,1325,5024,4480,208,221,421,42,587,1087,1107,1117,421,3204,3102,3204,7990,10990,391,262,0,7996,8705,262,399,480,161,41,8693,8800,8800,130
4,5,1610,6024,4480,242,229,502,40,829,1329,1341,1351,502,3419,3753,3419,9735,13550,324,417,0,8935,9726,417,324,280,119,37,10526,9586,9586,0
4,6,1923,7026,4608,205,211,484,40,1034,1534,1554,1564,484,3400,3590,3400,9118,12605,335,378,0,8777,9530,378,326,180,519,23,9862,9611,9611,81
4,7,2149,8031,4608,203,197,387,3,1237,1737,1758,1768,387,3044,2999,3044,7979,11215,302,209,0,8158,8725,209,311,290,58,29,8540,8735,8735,91
4,8,2387,9032,4608,191,202,407,25,1428,1928,1949,1959,407,2850,2778,2850,7311,10351,304,314,0,7353,8021,314,304,100,58,11,7957,7969,7969,52
4,9,2624,10033,4608,207,199,431,44,1635,2135,2157,2167,431,3043,3317,3043,8526,11669,322,305,0,7821,8498,305,322,201,67,11,9203,8557,8557,111
4,10,2838,11034,4608,226,223,443,36,1861,2361,2381,2391,443,3218,3004,3218,7974,10846,264,249,0,8326,8888,249,264,313,70,21,8537,8803,8803,26
4,11,3092,12035,4608,205,206,459,29,2066,2566,2586,2596,459,3213,3353,3213,8719,12136,336,326,0,8472,9184,326,336,170,150,19,9431,9249,9249,97
4,12,3291,13035,4608,180,179,346,40,2246,2746,2767,2777,346,2562,2610,2562,6996,9852,246,257,0,6782,7335,257,246,45,89,4,7548,7226,7226,2
