pid,round,cpu,wc,ram,seq_nr,log_r,urb_s,urb_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,0,263,1021,5888,2048,10168,256,5688,1280,5688,6400,5688,15308,20814,136,50,0,7947,8049,50,28,1340,1561,11,15529,8049,8049,0
4,1,492,2024,6016,0,4456,0,3683,1024,3683,5120,3683,13271,16164,68,17,0,5987,6059,17,35,1190,1712,5,13391,6211,6211,152
4,2,764,3349,6144,0,5856,0,1786,512,1786,2560,1786,13075,16417,29,14,0,4953,4999,14,14,194,2285,2,13146,4847,4847,0
4,3,1016,4514,7168,2048,6968,256,3431,1280,3431,6400,3431,12059,20370,21,25,0,5991,6052,25,19,194,2726,2,12112,6114,6114,62
4,4,1142,5515,7552,6144,2048,768,1209,768,1209,3840,1209,8448,12056,9,4,0,2455,2472,4,4,413,1964,3,8486,2476,2476,165
4,5,1359,6611,7808,0,4496,0,1720,256,1720,1280,1720,19691,21656,31,12,0,2522,2556,12,8,479,2476,4,19774,2411,2411,33
4,6,1723,7614,8832,0,20280,0,7760,1792,7760,8960,7759,16210,25306,32,23,0,13369,13446,23,29,484,5646,5,16302,13496,13496,84
4,7,2295,8616,9472,0,18688,0,8172,2304,8172,11520,8172,18290,32487,34,37,0,16422,16517,37,32,1063,3106,6,18316,16802,16802,405
4,8,2881,9619,10992,0,26408,0,9838,3287,9838,16435,9838,23318,39313,43,43,0,19818,19932,43,43,806,3525,7,23446,19561,19561,34
4,9,3541,10620,12144,12288,23512,1536,9333,3311,9333,16556,9334,20812,37389,59,47,0,17561,17695,47,59,1023,3399,6,20963,17880,17880,300
4,10,4178,11623,13740,6144,23688,768,8636,2832,8636,14164,8635,23265,37162,54,36,0,18173,18273,35,40,1343,4153,10,23404,19191,18646,673
4,11,4779,12633,15860,10240,29608,1280,11108,3598,11108,17994,11107,27116,45034,60,45,0,23358,23500,46,68,903,3924,6,27147,23514,22973,220
4,12,5423,13642,17140,6144,26048,768,9544,3182,9544,15910,9544,18271,35589,42,50,0,18024,18142,50,41,811,3524,4,18413,18405,18405,483
4,13,6099,14646,18420,6144,26112,768,9716,3174,9715,15869,9716,19988,35438,50,63,0,17069,17201,63,42,1670,3729,7,20139,17337,17337,645
4,14,6765,15651,19700,22528,24848,2816,9253,3328,9254,16640,9253,23204,39540,36,36,0,21290,21393,36,39,970,3993,5,23313,21338,21338,590
4,15,7362,16652,21332,18432,24880,2304,9257,2816,9257,14080,9257,21389,36172,37,36,0,20706,20807,36,37,824,3861,4,21507,20250,20250,33
4,16,8026,17653,23000,7840,26384,980,9925,3343,9925,16715,9925,22845,39747,32,43,0,22781,22882,43,29,1210,3676,4,22969,23214,23214,373
