pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
4,0,1149,5293,4608,256,2048,13008,256,1626,1280,1626,3241,3585,69,14,0,1865,1908,14,29,422,25,8,3324,2383,2383,475
4,1,1662,6842,4992,512,4096,13920,512,1456,2560,1456,7397,10125,19,32,0,2648,2703,32,23,38,537,1,7439,2216,2216,1
4,2,2041,7952,5248,512,4096,11128,512,1324,2560,1324,6767,8079,24,18,0,3249,3279,18,12,406,986,4,6808,4266,3300,106
4,3,2423,9007,5248,512,4096,19888,512,2167,2560,2167,9231,12605,44,35,0,3691,3750,35,24,409,250,4,8618,7974,5027,2044
4,4,2923,10033,5376,1024,8192,26192,1024,3274,5120,3274,10662,15577,41,34,0,5570,5625,34,21,634,344,7,10733,6319,5625,2044
4,5,3241,11053,5376,512,4096,26192,512,3274,2560,3274,8010,11109,63,37,0,5145,5224,37,42,299,396,6,7804,8286,5224,2044
4,6,3662,12069,5376,768,6144,26192,768,3274,3840,3274,12265,16002,71,51,0,6540,6620,51,29,873,413,10,12387,9511,6620,2044
4,7,3981,13081,5376,768,6144,36446,768,4557,3840,4557,8580,11567,52,49,0,9612,9718,49,57,418,1583,4,8681,8305,7774,100
4,8,4395,14087,5504,1024,8192,34848,1024,4352,5120,4352,13283,18633,55,44,0,7955,8043,44,44,361,1588,11,13323,10199,7952,9
4,9,4810,15095,5504,768,6144,33472,768,4183,3840,4184,9315,13445,74,49,0,6602,6694,49,43,745,1537,11,9434,9165,7933,1253
4,10,5261,16123,5504,1050,8397,37240,1050,4656,5250,4655,16233,21911,81,52,0,9575,9672,52,45,1185,3077,6,15923,11069,8284,95
4,11,5660,17130,5504,1254,10032,41336,1213,5166,6065,5167,12135,17558,57,68,0,9097,9214,68,49,511,2717,5,12260,10683,9445,331
4,12,5944,18136,5504,0,0,7816,0,978,0,977,4069,4782,37,33,0,3432,3473,33,8,788,2946,4,4121,3705,3128,0
4,13,6425,19147,5632,1536,12288,36112,1536,4514,7680,4515,14459,21474,44,60,0,7941,8038,60,37,785,4464,7,14563,8129,8129,92
4,14,6799,20168,5632,768,6144,34648,768,4304,3840,4305,11471,15694,54,28,0,8637,8703,28,38,324,3802,6,11553,11314,9837,1232
4,15,7151,21178,5632,768,6144,26192,768,3274,3840,3274,8557,12141,60,30,0,5876,5936,30,30,160,3895,6,8577,7768,6510,2044
4,16,7539,22215,5632,768,6144,26176,768,3272,3840,3272,9619,13283,46,46,0,5989,6068,46,33,798,4013,5,9140,7564,6068,2044
4,17,7971,23382,5632,512,4096,25320,512,3165,2560,3165,11531,14671,59,30,0,5225,5289,30,34,426,4186,6,9045,6662,4934,1689
4,18,8377,24390,5632,1024,8192,38672,1024,4835,5120,4834,13761,18536,66,45,0,9653,9739,45,41,1174,4496,7,13855,9896,8036,0
